"categoria_1","categoria_2","categoria_3","categoria_4","anio","componente","emision"
"procesos industriales","industria de los metales","producción de aluminio","producción de aluminio",1991,"co2",71.6085
"uso del suelo, cambio de uso del suelo y silvicultura","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa",1991,"co2",16963.0273754722
"uso del suelo, cambio de uso del suelo y silvicultura","conversion de bosques y pastizales","conversion de bosques y pastizales","conversion de bosques y pastizales",1991,"co2",91485.6246785815
"uso del suelo, cambio de uso del suelo y silvicultura","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas",1991,"co2",-9415.78414496217
"uso del suelo, cambio de uso del suelo y silvicultura","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos",1991,"co2",23338.8553927134
"desechos (ipcc 2006)","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos",1991,"co2",124.23503314276
"bunkers","aviación internacional","aviación internacional","aviación internacional",1991,"co2",1114.91580226909
"bunkers","navegación internacional","navegación internacional","navegación internacional",1991,"co2",107.585780040285
"emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa",1991,"co2",35156.121
"energía","consumo de combustibles fósiles","producción de electricidad","producción de electricidad",1992,"co2",67468.74453
"energía","consumo de combustibles fósiles","consumo propio","consumo propio",1992,"co2",37965.5051206713
"energía","consumo de combustibles fósiles","hierro y acero","hierro y acero",1992,"co2",6425.19876200211
"energía","consumo de combustibles fósiles","metales no ferrosos","metales no ferrosos",1992,"co2",154.6372245
"energía","consumo de combustibles fósiles","productos químicos","productos químicos",1992,"co2",16491.694428
"energía","consumo de combustibles fósiles","pulpa, papel e impresión","pulpa, papel e impresión",1992,"co2",2546.527995
"energía","consumo de combustibles fósiles","procesamiento de alimentos, bebidas y tabaco","procesamiento de alimentos, bebidas y tabaco",1992,"co2",4307.616423
"energía","consumo de combustibles fósiles","otros","otros",1992,"co2",21405.5722265
"energía","consumo de combustibles fósiles","aviación civil","aviación civil",1992,"co2",3957.74879318806
"energía","consumo de combustibles fósiles","autotransporte","autotransporte",1992,"co2",86817.008619
"energía","consumo de combustibles fósiles","ferrocarril","ferrocarril",1992,"co2",1649.028414
"energía","consumo de combustibles fósiles","navegación","navegación",1992,"co2",1185.67964080881
"energía","consumo de combustibles fósiles","comercio y sectores institucionales","comercio y sectores institucionales",1992,"co2",5355.708534
"energía","consumo de combustibles fósiles","residencial","residencial",1992,"co2",19516.0484145
"energía","consumo de combustibles fósiles","agricultura, pesca y forestal","agricultura, pesca y forestal",1992,"co2",5168.833593
"procesos industriales","industria de los minerales","producción de cemento","producción de cemento",1992,"co2",13253.6160105
"procesos industriales","industria de los minerales","producción de cal","producción de cal",1992,"co2",2244.3447
"procesos industriales","industria de los minerales","uso de piedra caliza y dolomita","uso de piedra caliza y dolomita",1992,"co2",3108.10183453
"procesos industriales","industria de los minerales","producción y uso de carbonato de sodio","producción y uso de carbonato de sodio",1992,"co2",182.6
"procesos industriales","industria química","producción de amoniaco","producción de amoniaco",1992,"co2",4017
"procesos industriales","industria de los metales","producción de hierro y acero","producción de hierro y acero",1992,"co2",6302.3093
"procesos industriales","industria de los metales","producción de ferroaleaciones","producción de ferroaleaciones",1992,"co2",309.5975
"procesos industriales","industria de los metales","producción de aluminio","producción de aluminio",1992,"co2",63.3015
"uso del suelo, cambio de uso del suelo y silvicultura","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa","cambios de biomasa en bosques y otros tipos de vegetación leñosa",1992,"co2",17024.9864081564
"uso del suelo, cambio de uso del suelo y silvicultura","conversion de bosques y pastizales","conversion de bosques y pastizales","conversion de bosques y pastizales",1992,"co2",78651.8453566489
"uso del suelo, cambio de uso del suelo y silvicultura","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas","captura por abandono de tierras manejadas",1992,"co2",-10760.896165671
"uso del suelo, cambio de uso del suelo y silvicultura","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos","emisiones y remociones de co2 de los suelos",1992,"co2",27228.6646248318
"desechos (ipcc 2006)","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos","incineración e incineración abierta de desechos",1992,"co2",153.707612883586
"bunkers","aviación internacional","aviación internacional","aviación internacional",1992,"co2",2109.87230730181
"bunkers","navegación internacional","navegación internacional","navegación internacional",1992,"co2",60.56252119119
"emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa","emisiones de co2 por quema de biomasa",1992,"co2",34621.2199666667
"energía","consumo de combustibles fósiles","producción de electricidad","producción de electricidad",1993,"co2",69978.8888755
"energía","consumo de combustibles fósiles","consumo propio","consumo propio",1993,"co2",35262.210305575
"energía","consumo de combustibles fósiles","hierro y acero","hierro y acero",1993,"co2",7098.77648332195
"energía","consumo de combustibles fósiles","metales no ferrosos","metales no ferrosos",1993,"co2",160.630833
"energía","consumo de combustibles fósiles","productos químicos","productos químicos",1993,"co2",15811.5376815
"energía","consumo de combustibles fósiles","pulpa, papel e impresión","pulpa, papel e impresión",1993,"co2",2490.85716
"energía","consumo de combustibles fósiles","procesamiento de alimentos, bebidas y tabaco","procesamiento de alimentos, bebidas y tabaco",1993,"co2",3836.7139305
"energía","consumo de combustibles fósiles","otros","otros",1993,"co2",22522.7244605
"energía","consumo de combustibles fósiles","aviación civil","aviación civil",1993,"co2",4263.52797897059
"energía","consumo de combustibles fósiles","autotransporte","autotransporte",1993,"co2",88846.487169
"energía","consumo de combustibles fósiles","ferrocarril","ferrocarril",1993,"co2",1667.359914
"energía","consumo de combustibles fósiles","navegación","navegación",1993,"co2",966.678822164533
"energía","consumo de combustibles fósiles","comercio y sectores institucionales","comercio y sectores institucionales",1993,"co2",5292.210396
"energía","consumo de combustibles fósiles","residencial","residencial",1993,"co2",20599.2032235
"energía","consumo de combustibles fósiles","agricultura, pesca y forestal","agricultura, pesca y forestal",1993,"co2",5203.606089
"procesos industriales","industria de los minerales","producción de cemento","producción de cemento",1993,"co2",13972.5586925
"procesos industriales","industria de los minerales","producción de cal","producción de cal",1993,"co2",2286.4635
"procesos industriales","industria de los minerales","uso de piedra caliza y dolomita","uso de piedra caliza y dolomita",1993,"co2",3599.929637944
"procesos industriales","industria de los minerales","producción y uso de carbonato de sodio","producción y uso de carbonato de sodio",1993,"co2",182.6
"procesos industriales","industria química","producción de amoniaco","producción de amoniaco",1993,"co2",3205.5
